20 4   1779.51 -1990.01 5.33922
21 4   99.2007 -51.8735 0.22389
22 4   301.912 -125.448 0.653875
23 4   -6.21499 203.409 0.407008
24 4   1077.97 -914.705 2.82751
25 4   -9.52038 -23.1893 0.0501351
26 4   94.2788 -15.046 0.190944
27 4   -106.048 -192.58 0.439696
28 4   -1713.62 2065.28 5.36726
29 4   -1.33976 63.079 0.126186
30 4   -33.4324 23.4879 0.0817167
31 4   -47.0339 -1043.52 2.08916
32 4   -331.079 79.2965 0.680885
33 4   -166.018 73.4209 0.363058
34 4   -216.892 5.39823 0.433918
35 4   50.5264 -40.9362 0.130057
36 4   351.156 235.249 0.845347
37 4   109.852 312.534 0.662556
38 4   -82.9121 -0.569619 0.165828
39 4   -3.14568 387.823 0.775671
40 4   372.22 1206.22 2.52468
41 4   115.856 -162.012 0.39835
42 4   -199.872 -818.727 1.68554
43 4   162.084 172.814 0.473861
44 4   -45.1109 -244.8 0.497843
45 4   28.5341 -139.253 0.284293
46 4   -76.6994 -185.654 0.401748
47 4   104.967 -83.7197 0.26853
48 4   368.299 40.265 0.740988
49 4   214.988 31.0315 0.434432
50 4   535.374 571.158 1.56569
1 5   3.48281 -59.934 0.12007
2 5   -41.7817 -202.165 0.412874
3 5   52.2509 225.819 0.463571
4 5   -94.3358 -193.837 0.431148
5 5   -182.411 130.306 0.448346
6 5   40.6406 70.4389 0.162644
7 5   -385.98 -2.2745 0.771973
8 5   90.4735 -25.1163 0.18779
9 5   368.598 313.665 0.967987
10 5   293.289 -45.4676 0.593585
11 5   -974.845 -183.845 1.98406
12 5   422.993 207.142 0.941978
13 5   -23.1926 11.4487 0.0517289
14 5   27.0744 -213.445 0.430311
15 5   133.528 111.686 0.348158
16 5   34.218 71.8712 0.159202
17 5   -239.352 124.254 0.539364
18 5   243.601 -62.2613 0.502863
19 5   141.766 317.473 0.695375
20 5   72.0043 112.607 0.26732
21 5   398.457 127.269 0.836577
22 5   -482.911 290.033 1.12663
23 5   -17.3389 -108.281 0.219322
24 5   -390.114 -12.5597 0.780632
25 5   214.438 49.1046 0.439976
26 5   -180.52 -5526.83 11.0595
27 5   -186.338 -102.02 0.424876
28 5   -330.48 -36.1623 0.664906
29 5   71.6733 22.8142 0.150433
30 5   -195.73 -329.761 0.766948
31 5   78.3819 -23.5365 0.163679
32 5   364.092 -140.189 0.780298
33 5   366.565 -630.513 1.45865
34 5   53.6709 263.854 0.538514
35 5   -118.521 170.904 0.415959
36 5   -234.158 353.01 0.847222
37 5   -342.15 -442.424 1.11858
38 5   51.7631 211.799 0.436065
39 5   -3072.54 1196.75 6.59476
40 5   83.5181 172.02 0.382445
41 5   56.886 -46.3437 0.146748
42 5   -123.001 -22.7497 0.250175
43 5   55.5072 -114.493 0.254478
44 5   119.043 -185.053 0.440073
45 5   200.615 75.8389 0.428943
46 5   -273.052 -36.7381 0.551025
47 5   -308.902 -682.314 1.49796
48 5   106.001 -116.268 0.314671
49 5   -45.6828 96.8383 0.214145
50 5   -199.302 305.676 0.729819
1 6   214.097 -138.263 0.509722
2 6   -254.258 133.5 0.574349
3 6   1428.65 -2375.58 5.54415
4 6   -89.3214 13.7253 0.18074
5 6   -273.423 281.67 0.785106
6 6   -68.7236 219.282 0.459598
7 6   9.52441 36.2239 0.0749102
8 6   87.4836 82.7115 0.240787
9 6   1201.9 -286.635 2.47121
10 6   -192.625 346.698 0.793231
11 6   157.71 -58.1657 0.336188
12 6   -99.6656 570.314 1.15791
13 6   -327.997 -81.8075 0.676091
14 6   415.149 -58.1914 0.838415
15 6   69.2509 53.3779 0.17487
16 6   -223.351 -131.891 0.518771
17 6   -137.193 -28.7965 0.280366
18 6   -6.5385 174.125 0.348496
19 6   158.02 8.1456 0.316459
20 6   -233.303 -37.4693 0.472586
21 6   -70.5618 -13.0724 0.143525
22 6   -440.423 -65.0132 0.89039
23 6   -24.4035 386.147 0.773836
24 6   -476.458 -1847.66 3.81621
25 6   -191.72 70.7743 0.408733
26 6   -230.051 -1280.11 2.60123
27 6   -182.439 -201.606 0.543798
28 6   -117.4 109.517 0.321103
29 6   -75.1549 242.009 0.50682
30 6   -351.078 -8.36008 0.702356
31 6   79.5174 -53.5819 0.191771
32 6   -123.451 96.8908 0.313867
33 6   -144.968 -120.29 0.376751
34 6   -51.4551 114.408 0.250893
35 6   -985.35 -1321.12 3.29623
36 6   251.532 -96.3234 0.53869
37 6   157.784 -23.8645 0.319156
38 6   85.6615 4.1223 0.171521
39 6   -80.2856 -76.24 0.221435
40 6   -73.3114 6.57438 0.147211
41 6   -86.2267 59.3235 0.209326
42 6   92.7606 53.2638 0.21393
43 6   134.778 177.612 0.44592
44 6   291.76 111.955 0.625006
45 6   666.926 -867.076 2.18779
46 6   72.768 352.813 0.720479
47 6   -128.02 82.9818 0.305124
48 6   -35.2733 150.158 0.30849
49 6   227.695 -613.962 1.30965
50 6   110.583 268.555 0.580862
1 7   -313.56 110.962 0.665229
2 7   -55.6344 101.489 0.231475
3 7   2254.89 832.769 4.80751
4 7   446.988 -850.882 1.92229
5 7   -619.966 -348.718 1.42262
6 7   173.194 -11.2192 0.347114
7 7   346.255 690.285 1.54452
8 7   -74.9745 -74.4157 0.211271
9 7   -84.3186 -38.6004 0.185468
10 7   -751.314 508.068 1.81395
11 7   497.525 -614.775 1.58175
12 7   29.0694 -42.2895 0.102634
13 7   -95.9162 279.696 0.591371
14 7   -227.668 297.815 0.749737
15 7   386.727 654.712 1.5208
16 7   352.253 0.184326 0.704507
17 7   1048.5 -447.162 2.27975
18 7   177.729 -218.171 0.562802
19 7   -578.85 832.847 2.0285
20 7   521.231 28.2969 1.044
21 7   -38.4261 -23.0846 0.0896541
22 7   942.932 3166.79 6.60838
23 7   -47.2737 2.44588 0.0946738
24 7   212.305 4.13691 0.424691
25 7   467.891 386.012 1.21314
26 7   93.8109 17.2959 0.190784
27 7   -364.186 -61.5052 0.738686
28 7   307.029 453.849 1.09589
29 7   40.1257 252.234 0.51081
30 7   -58.5652 51.9427 0.156562
31 7   234.002 286.47 0.73979
32 7   -192.615 -29.1091 0.389605
33 7   478.403 299.55 1.12889
34 7   162.948 -63.9079 0.350065
35 7   -75.1781 -10.498 0.151815
36 7   -46.1656 31.7963 0.112112
37 7   609.504 -692.897 1.84564
38 7   65.122 103.926 0.245287
39 7   -28.1662 95.2372 0.19863
40 7   -123.339 -54.451 0.269647
41 7   183.283 61.0283 0.386352
42 7   -399.866 -984.689 2.12556
43 7   -366.192 91.7565 0.755026
44 7   -52.2277 369.406 0.74616
45 7   207.505 726.455 1.51102
46 7   67.563 15.8884 0.138812
47 7   -154.146 -185.874 0.48295
48 7   -29.0287 -197.638 0.399517
49 7   -71.4797 -290.252 0.597849
50 7   417.233 342.355 1.07943
1 8   78.4118 -95.5181 0.247161
2 8   -61.3027 -15.9532 0.126689
3 8   16.9149 162.392 0.326542
4 8   209.297 224.221 0.61345
5 8   307.127 -1254.84 2.58375
6 8   123.313 -151.895 0.391295
7 8   -195.212 248.19 0.631526
8 8   148.935 -237.198 0.560159
9 8   6.07613 -64.5752 0.129721
10 8   -107.528 268.881 0.579168
11 8   -66.9444 -251.184 0.519904
12 8   -295.642 -126.412 0.643069
13 8   -674.781 -516.214 1.69918
14 8   86.9562 -379.768 0.779193
15 8   -181.599 -306.149 0.711915
16 8   -14.0471 249.695 0.500181
17 8   -272.499 607.679 1.33196
18 8   21.2493 229.427 0.460817
19 8   259.51 -500.964 1.12838
20 8   89.8644 172.619 0.389219
21 8   -118.643 102.206 0.313192
22 8   43.5163 18.798 0.0948057
