20 4   -223.063 -41.5102 0.453786
21 4   108.491 -269.382 0.580817
22 4   574.785 1086.9 2.45904
23 4   -2176.12 4458.47 9.9224
24 4   149.969 71.0636 0.331908
25 4   -102.145 -218.59 0.482557
26 4   256.287 -19.0197 0.513984
27 4   -90.4448 -282.078 0.592446
28 4   -344.148 -352.609 0.985436
29 4   -365.63 76.8586 0.747242
30 4   -74.6116 76.5497 0.213792
31 4   403.658 102.783 0.833078
32 4   56.507 139.795 0.301568
33 4   146.762 87.8177 0.342058
34 4   107.502 -90.5978 0.281173
35 4   -892.797 843.389 2.45633
36 4   -376.812 -270.193 0.927344
37 4   -345.786 248.291 0.85139
38 4   -73.3998 57.0307 0.185904
39 4   -221.333 216.787 0.619628
40 4   -545.716 -322.231 1.2675
41 4   36.1233 -96.4269 0.205942
42 4   339.448 519.314 1.24083
43 4   -108.479 -49.9515 0.238854
44 4   -85.5901 -168.206 0.377459
45 4   22.5975 266.431 0.534775
46 4   -2.9306 993.435 1.98688
47 4   -84.0471 -122.858 0.297711
48 4   518.961 -456.399 1.3822
49 4   2554.75 1812.17 6.26441
50 4   -36.1353 5.70221 0.0731648
1 5   34.1068 -73.2107 0.161531
2 5   -116.019 -33.389 0.241456
3 5   1429.17 -334.238 2.93548
4 5   305.656 459.553 1.10384
5 5   471.451 -211.677 1.03358
6 5   -63.5441 -134.062 0.296719
7 5   406.767 695.658 1.61171
8 5   -162.441 217.209 0.542464
9 5   61.4705 -46.7396 0.154444
10 5   -166.393 77.2415 0.366895
11 5   -246.858 -151.835 0.57963
12 5   444.146 -375.667 1.16343
13 5   708.257 -1116.49 2.64437
14 5   -9.78725 248.398 0.497181
15 5   -529.701 319.726 1.23743
16 5   -263.926 -139.875 0.597401
17 5   239.711 173.959 0.592361
18 5   96.2461 208.8 0.459829
19 5   178.128 -172.678 0.496176
20 5   797.341 -880.604 2.37589
21 5   96.8975 -35.6487 0.206494
22 5   -110.604 450.798 0.928336
23 5   1708.77 -357.318 3.49146
24 5   332.111 -463.746 1.1408
25 5   9394.62 -5940.87 22.2309
26 5   14.436 -45.2406 0.0949759
27 5   -169.949 135.748 0.435018
28 5   -429.531 -123.694 0.893973
29 5   479.769 30.7418 0.961506
30 5   -157.684 26.1701 0.319682
31 5   -9.34153 271.439 0.543199
32 5   152.882 136.58 0.41001
33 5   885.938 -831.751 2.43039
34 5   10.0395 -49.3004 0.100624
35 5   45.6183 -157.606 0.328151
36 5   84.6604 -139.534 0.326417
37 5   53.2894 15.0917 0.11077
38 5   -48.3085 -58.9995 0.152508
39 5   -73.9364 -250.683 0.522719
40 5   314.675 -101.995 0.661584
41 5   -618.883 -255.098 1.33879
