20 4   238.01 -32.1618 0.480346
21 4   -119.498 -131.163 0.354873
22 4   683.535 -282.546 1.47926
23 4   986.496 72.1924 1.97827
24 4   191.466 408.335 0.901991
25 4   112.451 5.12835 0.225136
26 4   -133.208 -124.807 0.365082
27 4   271.859 179.976 0.652069
28 4   -315.931 -160.385 0.708621
29 4   -98.7809 -172.364 0.397326
30 4   -18.8924 -106.047 0.215434
31 4   -558.462 -367.868 1.33747
32 4   -156.291 -221.579 0.542307
33 4   -333.88 -718.875 1.58525
34 4   -321.88 4.87497 0.643833
35 4   192.72 261.416 0.649552
36 4   -7.51322 269.61 0.53943
37 4   -124.804 -232.864 0.5284
38 4   52.7266 180.983 0.377015
39 4   -739.976 -465.927 1.74889
40 4   7.10145 75.8822 0.152428
41 4   -63.7024 28.9734 0.139964
42 4   258.063 42.5937 0.52311
43 4   22.2658 -256.235 0.5144
44 4   205.952 184.033 0.552392
45 4   -68.3864 -96.9586 0.237299
46 4   -545.995 -521.813 1.51049
47 4   -114.532 1403.14 2.81562
48 4   -26.8672 -195.965 0.395597
49 4   546.875 238.054 1.19288
50 4   117.843 -2.63437 0.235744
1 5   17.0581 -50.9347 0.10743
2 5   -188.02 31.344 0.38123
3 5   -79.1439 204.182 0.437967
4 5   6.85591 139.681 0.279698
5 5   120.502 229.216 0.517921
6 5   160.817 263.512 0.617416
7 5   30.5585 -136.011 0.278803
8 5   -143.08 -84.401 0.332237
9 5   -200.383 439.571 0.966181
10 5   144.135 308.836 0.68163
11 5   18.6632 -88.2422 0.180388
12 5   -188.794 -104.762 0.431826
13 5   -62.7344 -41.822 0.150794
14 5   349.439 102.75 0.728464
15 5   -2187.65 -1706.87 5.5495
16 5   -358.817 -355.623 1.01038
17 5   103.641 -282.594 0.602
18 5   -147.251 12.2705 0.295523
19 5   -120.92 -24.2839 0.246669
20 5   -22.8751 133.328 0.270552
21 5   499.827 -479.19 1.38485
22 5   -11.4314 341.981 0.684344
23 5   -149.364 -223.095 0.536957
24 5   -73.2227 74.2543 0.208569
25 5   318.809 365.992 0.970751
26 5   -82.5916 377.269 0.772407
27 5   -179.916 354.993 0.795965
28 5   34.8406 -657.949 1.31774
29 5   -215.828 38.0194 0.438303
30 5   332.209 -197.52 0.772986
31 5   159.285 110.083 0.387246
32 5   137.491 -12.2599 0.276072
33 5   54.6924 63.4303 0.167507
34 5   -92.9449 -67.1236 0.229297
35 5   464.252 95.9409 0.948124
36 5   57.4725 15.6727 0.119142
37 5   144.237 -126.463 0.383653
38 5   -232.693 -10.9028 0.465897
39 5   -196.508 33.1917 0.398582
40 5   20.8726 18.809 0.056194
41 5   -246.879 8.45023 0.494047
42 5   251.179 -44.991 0.510354
43 5   863.445 109.902 1.74082
44 5   -151.354 -449.158 0.947948
45 5   24.6198 68.123 0.144871
46 5   203.904 17.4527 0.4093
47 5   -159.175 -144.24 0.429613
48 5   308.062 -111.599 0.655306
49 5   565.87 -63.2794 1.13879
50 5   116.114 59.0308 0.260515
1 6   -127.656 -265.769 0.589675
2 6   -261.425 -219.942 0.68328
3 6   65.0303 136.455 0.302317
4 6   26.6557 -320.177 0.64257
5 6   1596.79 -1631.62 4.56594
6 6   308.57 751.467 1.62471
7 6   -287.436 -12.8498 0.575447
8 6   -5.37048 186.19 0.372535
9 6   -395.194 -189.052 0.876171
10 6   333.32 70.37 0.681334
11 6   82.2418 233.877 0.495831
12 6   161.354 144.897 0.433729
13 6   67.5167 -377.893 0.767754
14 6   52.4673 199.417 0.412407
15 6   -24.6823 148.285 0.300651
16 6   79.3256 -53.545 0.191412
17 6   -164.229 -59.2215 0.349162
18 6   -3.67944 236.438 0.472933
19 6   -138.45 72.0706 0.312171
20 6   463.779 187.184 1.00026
21 6   -44.955 181.535 0.374038
22 6   101.749 -237.148 0.516108
23 6   12.3906 88.7609 0.179243
24 6   21.3245 -120.195 0.244144
25 6   -66.2449 73.559 0.197983
26 6   -403.708 36.8743 0.810778
27 6   -578.446 -1044.83 2.38852
28 6   60.6062 128.939 0.284944
29 6   1165.39 -75.9168 2.33572
30 6   -122.969 -40.4928 0.258929
31 6   73.7888 -573.441 1.15634
32 6   -3056.87 6171.73 13.7746
33 6   -405.94 -22.0827 0.81308
34 6   -30.1009 114.224 0.236248
35 6   -154.316 -49.0828 0.323868
36 6   -60.8912 6.85781 0.122552
37 6   -204.588 -178.262 0.542711
38 6   -26.598 528.343 1.05802
39 6   182.818 -66.5415 0.389103
40 6   -235.761 -99.9975 0.512183
41 6   -272.983 -279.518 0.78141
42 6   -136.8 -62.1784 0.300535
43 6   -78.32 -108.333 0.267358
44 6   -245.158 51.3412 0.500953
45 6   -111.305 -60.2503 0.253131
46 6   -210.945 554.22 1.18601
47 6   -96.0424 225.726 0.490618
48 6   -15.3515 90.0314 0.182662
49 6   50.2945 -109.358 0.240737
50 6   166.14 -317.366 0.716446
1 7   444.106 885.257 1.98082
2 7   -343.998 19.4241 0.689091
3 7   453.529 192.007 0.984998
4 7   364.793 -346.901 1.0068
5 7   154.66 -8.8119 0.309821
6 7   18.3854 5.47812 0.0383684
