36 3   -0.264153 -0.00177153 0.000528318
37 3   -0.272742 -0.00120322 0.000545489
38 3   -0.224207 -0.000540066 0.000448416
39 3   -0.233413 0.000413427 0.000466827
40 3   -0.181698 0.00149881 0.000363407
41 3   -0.192185 0.00288068 0.000384413
42 3   -0.138404 0.00439098 0.000276947
43 3   -0.150899 0.00612987 0.000302048
44 3   -0.096611 0.00810154 0.0001939
45 3   -0.111379 0.010306 0.000223709
46 3   -0.0572924 0.0127196 0.000117375
47 3   -0.0760145 0.0156033 0.000155199
48 3   -0.0240582 0.0196603 6.21393e-005
49 3   -0.0430829 0.017673 9.31336e-005
50 3   0.0102509 0.00768362 2.56219e-005
1 4   0.00125439 -0.00716163 1.45413e-005
2 4   -0.033075 -0.0172848 7.46383e-005
3 4   -0.0344059 -0.0187241 7.83418e-005
4 4   -0.0712371 -0.0143398 0.000145332
5 4   -0.0748418 -0.00978118 0.000150957
6 4   -0.112642 -0.00535726 0.000225538
7 4   -0.119879 -0.00213102 0.000239797
8 4   -0.15844 0.000865817 0.000316885
9 4   -0.16904 0.00345962 0.000338151
10 4   -0.206828 0.00572218 0.000413815
11 4   -0.220059 0.00744984 0.000440371
12 4   -0.255627 0.00892322 0.000511565
13 4   -0.270823 0.00991623 0.000542009
14 4   -0.302708 0.0106245 0.000605789
15 4   -0.319103 0.0108786 0.000638577
16 4   -0.346 0.0109278 0.000692344
17 4   -0.36288 0.0105572 0.000726068
18 4   -0.383639 0.0100258 0.00076754
19 4   -0.400345 0.00912205 0.000800899
20 4   -0.414033 0.00811849 0.000828224
21 4   -0.42998 0.0067862 0.000860067
22 4   -0.435879 0.00541158 0.000871825
23 4   -0.450579 0.0037622 0.00090119
24 4   -0.448209 0.00213128 0.000896428
25 4   -0.461287 0.000284855 0.000922575
26 4   -0.45041 -0.00147819 0.000900824
27 4   -0.461629 -0.00338817 0.000923284
28 4   -0.442258 -0.00514512 0.000884576
29 4   -0.45154 -0.0069716 0.000903187
30 4   -0.423947 -0.00857158 0.000848067
31 4   -0.431389 -0.0101565 0.000863018
32 4   -0.396103 -0.0114374 0.000792537
33 4   -0.401994 -0.0126155 0.000804384
34 4   -0.359798 -0.0134177 0.000720096
35 4   -0.364617 -0.0140271 0.000729773
36 4   -0.316525 -0.0141895 0.000633685
37 4   -0.320927 -0.0140909 0.000642472
38 4   -0.268169 -0.0134959 0.000537017
39 4   -0.272949 -0.0125572 0.000546475
40 4   -0.216899 -0.0110971 0.000434365
41 4   -0.222958 -0.00932353 0.000446305
42 4   -0.165096 -0.00700093 0.000330489
43 4   -0.173262 -0.00432656 0.000346632
44 4   -0.115011 -0.00125169 0.000230035
45 4   -0.126142 0.00204141 0.000252318
46 4   -0.0688796 0.00636591 0.000138346
47 4   -0.0832678 0.010665 0.000167896
48 4   -0.0271098 0.0146593 6.16389e-005
49 4   -0.043588 0.0136322 9.13401e-005
50 4   0.0101465 0.0054618 2.30463e-005
1 5   0.00107104 -0.00671594 1.36016e-005
2 5   -0.033236 -0.0145085 7.25293e-005
3 5   -0.0353666 -0.0133993 7.56397e-005
4 5   -0.0733366 -0.00845581 0.000147645
5 5   -0.0792479 -0.00246277 0.000158572
6 5   -0.11868 0.00351134 0.000237465
7 5   -0.128379 0.00831897 0.000257297
8 5   -0.169139 0.012535 0.000339205
9 5   -0.182522 0.016109 0.000366463
10 5   -0.222598 0.0191122 0.000446833
11 5   -0.238858 0.0214505 0.000479639
12 5   -0.27692 0.0231576 0.000555774
13 5   -0.295171 0.024226 0.000592327
14 5   -0.329485 0.024696 0.000660819
15 5   -0.348862 0.0245951 0.000699456
16 5   -0.378018 0.0239556 0.000757552
17 5   -0.397626 0.0228215 0.000796561
18 5   -0.420328 0.0212313 0.000841727
19 5   -0.439387 0.0192302 0.000879616
20 5   -0.454588 0.0168569 0.000909801
21 5   -0.47239 0.014161 0.000945205
22 5   -0.479285 0.011187 0.000958832
23 5   -0.495253 0.00798385 0.000990634
24 5   -0.493299 0.00460248 0.000986641
25 5   -0.506992 0.00109429 0.00101399
26 5   -0.495921 -0.0024821 0.000991855
27 5   -0.50707 -0.00607401 0.00101421
28 5   -0.486897 -0.00961487 0.000973985
29 5   -0.495425 -0.0130496 0.000991194
30 5   -0.466454 -0.0163049 0.000933477
31 5   -0.472498 -0.0193259 0.000945787
32 5   -0.435323 -0.0220349 0.000871761
33 5   -0.439245 -0.0243778 0.000879842
34 5   -0.394744 -0.0262779 0.000791235
35 5   -0.39714 -0.027689 0.000796208
36 5   -0.346451 -0.0285378 0.000695249
37 5   -0.348104 -0.0287878 0.000698585
38 5   -0.292615 -0.0283802 0.000587976
39 5   -0.294512 -0.0273047 0.000591549
40 5   -0.235716 -0.0255106 0.000474184
41 5   -0.238887 -0.0230325 0.000479989
42 5   -0.178529 -0.0198452 0.000359258
43 5   -0.184034 -0.0160681 0.000369469
44 5   -0.123446 -0.0116539 0.000247991
45 5   -0.132236 -0.00671191 0.000264812
46 5   -0.0732502 -0.000791704 0.000146509
47 5   -0.0855243 0.00496639 0.000171337
48 5   -0.0281007 0.00954926 5.93578e-005
49 5   -0.0437525 0.0109012 9.01801e-005
50 5   0.0100781 0.00526838 2.27441e-005
1 6   0.000745212 -0.00474252 9.60142e-006
2 6   -0.0336452 -0.0100719 7.02409e-005
3 6   -0.0362443 -0.00706154 7.38515e-005
4 6   -0.0743667 -7.23612e-006 0.000148733
5 6   -0.0819306 0.00792133 0.000164625
6 6   -0.122922 0.0152488 0.000247728
7 6   -0.134768 0.0217054 0.00027301
8 6   -0.176916 0.0273354 0.000358032
9 6   -0.192656 0.0319692 0.000390581
10 6   -0.234648 0.0357695 0.000474718
11 6   -0.253469 0.0386737 0.000512806
12 6   -0.293393 0.0406206 0.000592384
13 6   -0.314268 0.041663 0.000634036
14 6   -0.350496 0.0418267 0.000705966
15 6   -0.372412 0.0411753 0.000749363
16 6   -0.403311 0.0397143 0.000810523
17 6   -0.425279 0.0375562 0.000853869
18 6   -0.449485 0.0347089 0.000901646
19 6   -0.470591 0.0312823 0.000943259
20 6   -0.486951 0.027289 0.00097543
21 6   -0.506399 0.0228513 0.00101383
22 6   -0.514041 0.0179824 0.00102871
23 6   -0.531168 0.0128086 0.00106264
24 6   -0.529498 0.00735141 0.0010591
25 6   -0.543809 0.00174187 0.00108762
26 6   -0.532535 -0.00399085 0.0010651
27 6   -0.543729 -0.00971063 0.00108763
28 6   -0.522865 -0.0153788 0.00104618
29 6   -0.530862 -0.0208566 0.00106254
30 6   -0.500737 -0.0260959 0.00100283
31 6   -0.505701 -0.0309575 0.00101329
32 6   -0.466962 -0.0353891 0.000936603
33 6   -0.469317 -0.0392544 0.000941911
34 6   -0.422917 -0.042498 0.000850094
35 6   -0.423337 -0.045 0.000851444
36 6   -0.370526 -0.0467126 0.000746917
37 6   -0.369928 -0.0475264 0.000745936
38 6   -0.312177 -0.0474088 0.000631512
39 6   -0.311661 -0.046309 0.000630164
40 6   -0.25068 -0.0441972 0.000509093
41 6   -0.25144 -0.0410539 0.000509539
42 6   -0.188911 -0.0369465 0.000384981
43 6   -0.19218 -0.0319761 0.000389643
44 6   -0.129962 -0.0260361 0.000265089
45 6   -0.136713 -0.0193481 0.000276152
46 6   -0.0760203 -0.0119625 0.000153911
47 6   -0.0867533 -0.00426584 0.000173716
48 6   -0.0290012 0.00234479 5.81916e-005
49 6   -0.0443006 0.00551447 8.9285e-005
50 6   0.00975505 0.00256252 2.0172e-005
1 7   0.00070927 -0.00376807 7.66849e-006
2 7   -0.0335309 -0.00621035 6.82023e-005
3 7   -0.037428 -0.000989876 7.48822e-005
4 7   -0.0764723 0.00863185 0.000153916
5 7   -0.0856633 0.01869 0.000175357
6 7   -0.127913 0.027889 0.000261836
7 7   -0.142019 0.0361104 0.000293075
8 7   -0.185866 0.043252 0.000381664
9 7   -0.204138 0.0491541 0.000419946
10 7   -0.247958 0.0539037 0.000507498
11 7   -0.269379 0.0574054 0.000550855
12 7   -0.3112 0.0596915 0.000633746
13 7   -0.334727 0.0607446 0.000680389
14 7   -0.372768 0.0606311 0.000755333
15 7   -0.397209 0.0593872 0.000803249
16 7   -0.429764 0.0571069 0.000867083
17 7   -0.454057 0.05384 0.000914476
18 7   -0.479651 0.0496849 0.000964435
19 7   -0.50277 0.0447063 0.00100951
20 7   -0.520186 0.0390134 0.00104329
21 7   -0.541252 0.0326729 0.00108447
22 7   -0.549552 0.0258024 0.00110032
23 7   -0.567831 0.0184756 0.00113626
24 7   -0.566386 0.0108203 0.00113298
25 7   -0.581332 0.00291489 0.00116268
26 7   -0.569826 -0.00510187 0.0011397
27 7   -0.581107 -0.0131442 0.00116251
28 7   -0.559555 -0.0210627 0.0011199
29 7   -0.567085 -0.0287662 0.00113563
30 7   -0.535839 -0.0360973 0.00107411
31 7   -0.539802 -0.04296 0.00108302
32 7   -0.49955 -0.0491943 0.00100393
33 7   -0.500418 -0.0547074 0.0010068
34 7   -0.45218 -0.0593435 0.000912116
35 7   -0.450699 -0.0630171 0.000910167
36 7   -0.395803 -0.0655894 0.000802401
37 7   -0.392999 -0.0670016 0.000797339
38 7   -0.333033 -0.0671362 0.000679465
39 7   -0.330099 -0.0659685 0.000673253
40 7   -0.266865 -0.0634315 0.0005486
41 7   -0.265191 -0.0595729 0.000543599
42 7   -0.200529 -0.0543834 0.000415545
43 7   -0.201397 -0.0480076 0.00041408
44 7   -0.137242 -0.0404201 0.00028614
45 7   -0.141871 -0.031847 0.000290804
46 7   -0.0797296 -0.0225015 0.000165688
47 7   -0.0889384 -0.012669 0.000179672
48 7   -0.0301176 -0.0035768 6.06585e-005
49 7   -0.0442566 0.00176561 8.85837e-005
50 7   0.00978919 0.00186644 1.99311e-005
1 8   0.000418414 -0.00157363 3.25661e-006
2 8   -0.033855 -0.000637989 6.7722e-005
3 8   -0.0390264 0.00765572 7.95405e-005
4 8   -0.079071 0.0197404 0.000162996
5 8   -0.0902623 0.0320494 0.000191567
6 8   -0.133939 0.0435754 0.000281699
7 8   -0.150491 0.0536566 0.000319541
8 8   -0.196192 0.0623036 0.000411694
9 8   -0.2171 0.0695091 0.000455911
10 8   -0.262781 0.0752041 0.000546662
11 8   -0.28697 0.079285 0.000595442
12 8   -0.330734 0.0818139 0.000681406
13 8   -0.356948 0.0827799 0.000732843
14 8   -0.396786 0.0822433 0.000810439
15 8   -0.423809 0.0802694 0.000862688
16 8   -0.457981 0.0769594 0.000928805
17 8   -0.484604 0.0723876 0.000979961
18 8   -0.511536 0.0666701 0.00103172
19 8   -0.536674 0.0599026 0.00108001
20 8   -0.555092 0.052209 0.00111508
21 8   -0.577777 0.0436899 0.00115885
22 8   -0.586693 0.0344844 0.00117541
23 8   -0.606134 0.0247004 0.00121327
24 8   -0.604884 0.0144875 0.00121012
25 8   -0.620485 0.00396232 0.001241
26 8   -0.608739 -0.00671099 0.00121755
27 8   -0.62014 -0.0174085 0.00124077
28 8   -0.597911 -0.0279529 0.00119713
29 8   -0.605016 -0.0382114 0.00121244
30 8   -0.572671 -0.0479975 0.00114936
31 8   -0.575678 -0.0571751 0.00115702
32 8   -0.533942 -0.065552 0.0010759
33 8   -0.533355 -0.0729949 0.00107665
34 8   -0.483301 -0.0793209 0.000979535
35 8   -0.479941 -0.0844075 0.000974614
36 8   -0.422963 -0.0880879 0.000864077
37 8   -0.417919 -0.0902755 0.000855116
38 8   -0.355716 -0.0908379 0.000734263
39 8   -0.350334 -0.0897245 0.000723283
40 8   -0.284764 -0.0868703 0.000595439
41 8   -0.280497 -0.0823238 0.000584656
42 8   -0.213627 -0.0760562 0.000453523
43 8   -0.211991 -0.06823 0.000445401
44 8   -0.145718 -0.0589708 0.000314396
45 8   -0.148027 -0.0483966 0.000311475
46 8   -0.084247 -0.0366438 0.000183743
47 8   -0.0916028 -0.0245056 0.000189648
48 8   -0.0316546 -0.0129761 6.84221e-005
49 8   -0.0446911 -0.00465126 8.9865e-005
50 8   0.00954058 -0.00102646 1.91913e-005
1 9   0.000141339 -0.000128248 3.81703e-007
2 9   -0.0342768 0.00461206 6.91714e-005
3 9   -0.0408119 0.0163902 8.79601e-005
4 9   -0.0817809 0.0313665 0.00017518
5 9   -0.0951445 0.0463556 0.000211673
6 9   -0.140377 0.0602878 0.00030555
7 9   -0.159422 0.0724042 0.000350187
