49 2   -0.00850672 0.000149579
50 2   -0.00870541 0.000114569
51 2   -0.00868692 4.76876e-005
52 2   -0.00879202 0.000126171
53 2   -0.00904029 9.8089e-005
54 2   -0.00908655 4.47266e-005
55 2   -0.00903409 3.15537e-005
56 2   -0.00918832 0.000104246
57 2   -0.00933754 2.29044e-005
58 2   -0.00925284 -3.43635e-006
59 2   -0.00922584 2.42631e-005
60 2   -0.00938129 5.19128e-005
61 2   -0.00938385 -5.22423e-005
62 2   -0.00922738 -2.43322e-005
63 2   -0.00924973 3.26621e-006
64 2   -0.00933731 -2.33096e-005
65 2   -0.00919162 -0.000104421
66 2   -0.00903312 -3.16297e-005
67 2   -0.0090838 -4.50243e-005
68 2   -0.00904253 -9.84488e-005
69 2   -0.00879407 -0.000126204
70 2   -0.00868411 -4.78853e-005
71 2   -0.00870476 -0.000114922
72 2   -0.00851007 -0.000149805
73 2   -0.0082349 -0.000129763
74 2   -0.00818039 -8.80692e-005
75 2   -0.00810043 -0.000184348
76 2   -0.0077819 -0.000168241
77 2   -0.00755401 -0.000137492
78 2   -0.00751052 -0.000148231
79 2   -0.00728478 -0.000229053
80 2   -0.00692071 -0.000164522
81 2   -0.00677367 -0.000165488
82 2   -0.00666561 -0.000207214
83 2   -0.00630753 -0.000238509
84 2   -0.00599046 -0.000160836
85 2   -0.00589546 -0.000211273
86 2   -0.00566138 -0.000240493
87 2   -0.00524806 -0.000222364
88 2   -0.00503449 -0.000174182
89 2   -0.00491542 -0.00025455
90 2   -0.0045546 -0.000236621
91 2   -0.00419118 -0.000202677
92 2   -0.00406728 -0.000203331
93 2   -0.00385218 -0.000270798
94 2   -0.00343828 -0.000204562
95 2   -0.00319795 -0.00019723
96 2   -0.00309054 -0.000228932
97 2   -0.00276859 -0.000248158
98 2   -0.00241287 -0.000166406
99 2   -0.00229314 -0.000206089
100 2   -0.00212596 -0.000227012
101 2   -0.00176694 -0.000195293
102 2   -0.00155048 -0.000140797
103 2   -0.00148178 -0.00021163
104 2   -0.00123983 -0.000186056
105 2   -0.000954669 -0.000134418
106 2   -0.000877809 -0.000129907
107 2   -0.00078427 -0.000192513
108 2   -0.00053536 -0.000114789
109 2   -0.000400204 -8.5541e-005
110 2   -0.000390466 -0.000121371
111 2   -0.00025916 -0.000141506
112 2   -0.000107376 -3.48834e-005
113 2   -0.000103637 -5.80719e-005
114 2   -7.94019e-005 -0.000109082
115 2   1.84045e-005 -7.37457e-005
116 2   2.69992e-005 3.52508e-005
117 2   3.12163e-005 -8.16903e-005
118 2   0.000102542 -0.000159317
119 2   2.31307e-005 5.18684e-006
120 2   -4.2922e-005 0.000157959
1 3   -1.76662e-005 -7.93237e-005
2 3   -0.000107382 -0.000121777
3 3   -4.07441e-005 0.000133817
4 3   9.98965e-005 5.42282e-005
5 3   3.26874e-005 -1.1747e-006
6 3   -5.63619e-005 0.000103893
7 3   -1.87115e-005 0.000145413
8 3   -6.15633e-005 7.74253e-005
9 3   -0.000245324 0.000151777
10 3   -0.000354845 0.000258207
11 3   -0.000416266 0.000203258
12 3   -0.00062352 0.000200194
13 3   -0.000876249 0.000338566
14 3   -0.0010262 0.000353833
15 3   -0.00122912 0.000273172
16 3   -0.00156335 0.000366952
17 3   -0.00184039 0.000473436
18 3   -0.00206144 0.000392822
19 3   -0.00240834 0.00037323
20 3   -0.0027985 0.000521
21 3   -0.00308315 0.000523733
22 3   -0.00340773 0.000417014
23 3   -0.00385224 0.000495818
24 3   -0.00423267 0.000609028
25 3   -0.00454608 0.00050838
26 3   -0.00497663 0.000462467
27 3   -0.0054407 0.000601106
28 3   -0.00578651 0.00060964
