#k solution exact absolute_error relative_error
0 9.99 10  -0.01 -0.001
0.128 8.78917 7.74092  1.04825 0.135416
0.129 8.78038 7.72545  1.05493 0.136552
0.13 8.7716 7.71001  1.06159 0.13769
0.131 8.76283 7.69461  1.06823 0.138828
0.132 8.75407 7.67923  1.07484 0.139967
0.133 8.74531 7.66388  1.08143 0.141108
0.134 8.73657 7.64856  1.088 0.142249
0.135 8.72783 7.63328  1.09455 0.143392
0.136 8.7191 7.61802  1.10108 0.144536
0.137 8.71039 7.6028  1.10759 0.145681
0.138 8.70168 7.58761  1.11407 0.146828
0.139 8.69297 7.57244  1.12053 0.147975
0.14 8.68428 7.55731  1.12697 0.149124
0.141 8.6756 7.5422  1.13339 0.150273
0.142 8.66692 7.52713  1.13979 0.151424
0.143 8.65825 7.51209  1.14616 0.152576
0.144 8.6496 7.49708  1.15252 0.153729
0.145 8.64095 7.48209  1.15885 0.154884
0.146 8.6323 7.46714  1.16516 0.156039
0.147 8.62367 7.45222  1.17146 0.157196
0.148 8.61505 7.43732  1.17773 0.158353
0.149 8.60643 7.42246  1.18397 0.159512
0.15 8.59783 7.40763  1.1902 0.160672
0.151 8.58923 7.39282  1.19641 0.161834
0.152 8.58064 7.37805  1.20259 0.162996
0.153 8.57206 7.3633  1.20876 0.16416
0.154 8.56349 7.34859  1.2149 0.165324
0.155 8.55492 7.3339  1.22102 0.16649
0.156 8.54637 7.31924  1.22713 0.167657
0.157 8.53782 7.30462  1.23321 0.168826
0.158 8.52929 7.29002  1.23927 0.169995
0.159 8.52076 7.27545  1.24531 0.171166
0.16 8.51223 7.26091  1.25133 0.172337
0.161 8.50372 7.2464  1.25732 0.17351
0.162 8.49522 7.23192  1.2633 0.174684
0.163 8.48672 7.21746  1.26926 0.17586
0.164 8.47824 7.20304  1.2752 0.177036
0.165 8.46976 7.18864  1.28112 0.178214
0.166 8.46129 7.17428  1.28701 0.179393
0.167 8.45283 7.15994  1.29289 0.180573
0.168 8.44437 7.14563  1.29874 0.181754
0.169 8.43593 7.13135  1.30458 0.182936
0.17 8.42749 7.1171  1.3104 0.18412
